"date","beach","ecoli","status","rain","DOY"
2015-07-06,"MNY",31.0369114783072,"swim",FALSE,2019-07-06
2015-07-06,"PEB",10,"swim",FALSE,2019-07-06
2015-07-06,"PRB",20.2784474453604,"swim",FALSE,2019-07-06
2015-07-06,"WBO",196.863131846809,"swim",FALSE,2019-07-06
2015-07-07,"BRT",12.4573093961552,"swim",FALSE,2019-07-07
2015-07-07,"MNY",25.5084900125158,"swim",FALSE,2019-07-07
2015-07-07,"PEB",22.3685382944029,"swim",FALSE,2019-07-07
2015-07-07,"PRB",31.0369114783072,"swim",FALSE,2019-07-07
2015-07-07,"WBO",27.8651802273122,"swim",FALSE,2019-07-07
2015-07-08,"BRT",312.816877298868,"no swim",FALSE,2019-07-08
2015-07-08,"MNY",11.4869835499704,"swim",FALSE,2019-07-08
2015-07-08,"PEB",12.4573093961552,"swim",FALSE,2019-07-08
2015-07-08,"PRB",34.0707832530888,"swim",FALSE,2019-07-08
2015-07-08,"WBO",11.4869835499704,"swim",FALSE,2019-07-08
2015-07-09,"BRT",131.397250972137,"no swim",FALSE,2019-07-09
2015-07-09,"MNY",22.6793315526605,"swim",FALSE,2019-07-09
2015-07-09,"PEB",72.5935617980741,"swim",FALSE,2019-07-09
2015-07-09,"PRB",71.9000061460043,"swim",FALSE,2019-07-09
2015-07-09,"WBO",83.0545419050461,"swim",FALSE,2019-07-09
2015-07-10,"BRT",23.5215804504935,"swim",FALSE,2019-07-10
2015-07-10,"MNY",33.1445401733999,"swim",FALSE,2019-07-10
2015-07-10,"PEB",27.2406992742666,"swim",FALSE,2019-07-10
2015-07-10,"PRB",36.5904669954705,"swim",FALSE,2019-07-10
2015-07-10,"WBO",17.4110112659225,"swim",FALSE,2019-07-10
2015-07-11,"BRT",24.9146187923103,"swim",FALSE,2019-07-11
2015-07-11,"MNY",26.0517108469735,"swim",FALSE,2019-07-11
2015-07-11,"PEB",10,"swim",FALSE,2019-07-11
2015-07-11,"PRB",47.8938895318699,"swim",FALSE,2019-07-11
2015-07-11,"WBO",25.5084900125158,"swim",FALSE,2019-07-11
2015-07-12,"BRT",15.157165665104,"swim",FALSE,2019-07-12
2015-07-12,"MNY",27.0192007704123,"swim",FALSE,2019-07-12
2015-07-12,"PEB",18.881750225898,"swim",FALSE,2019-07-12
2015-07-12,"PRB",35.7993766976089,"swim",FALSE,2019-07-12
2015-07-12,"WBO",50.0797452219603,"swim",FALSE,2019-07-12
2015-07-13,"BRT",47.8938895318699,"swim",FALSE,2019-07-13
2015-07-13,"MNY",19.4729436123034,"swim",FALSE,2019-07-13
2015-07-13,"PEB",45.8034409784717,"swim",FALSE,2019-07-13
2015-07-13,"PRB",42.868720493426,"swim",FALSE,2019-07-13
2015-07-13,"WBO",22.9739670999407,"swim",FALSE,2019-07-13
2015-07-14,"BRT",10,"swim",FALSE,2019-07-14
2015-07-14,"MNY",18.881750225898,"swim",FALSE,2019-07-14
2015-07-14,"PEB",28.2523450049477,"swim",FALSE,2019-07-14
2015-07-14,"PRB",106.581681780865,"swim",FALSE,2019-07-14
2015-07-14,"WBO",13.1950791077289,"swim",FALSE,2019-07-14
2015-07-15,"BRT",177.639634419818,"swim",FALSE,2019-07-15
2015-07-15,"MNY",16.4375182951723,"swim",FALSE,2019-07-15
2015-07-15,"PEB",27.0192007704123,"swim",FALSE,2019-07-15
2015-07-15,"PRB",113.429039751471,"no swim",FALSE,2019-07-15
2015-07-15,"WBO",26.672686083966,"swim",FALSE,2019-07-15
2015-07-16,"BRT",33.7977444523543,"swim",FALSE,2019-07-16
2015-07-16,"MNY",12.4573093961552,"swim",FALSE,2019-07-16
2015-07-16,"PEB",17.4110112659225,"swim",FALSE,2019-07-16
2015-07-16,"PRB",51.8412948598172,"swim",FALSE,2019-07-16
2015-07-16,"WBO",27.5945932292243,"swim",FALSE,2019-07-16
2015-07-17,"BRT",69.7626609131699,"swim",FALSE,2019-07-17
